,アーハッ,エンジン,エントロ,オタマジ,オンギャー,オンスー,オンボロ,カステラ,カタキチ,カタコト,カチャカチ,カップル,カラパー,カランポロ,カリフラ,ガサゴソ,ガタゴト,ガチャガチ,ガラクタ,ガーハッ,キコバタ,キャッスル,キラキラリ,キリギリ,キンキラ,キンシッ,キーパー,キーボー,キーワー,クスキュー,クッキー,グスカー,グラウン,グーリン,コロンコロ,コンクリ,コンクー,コントロ,コンポー,ゴーグル,ザックザク,シッギシ,シナプス,シャンパン,シャンボシャ,シートン,ジャングル,ジューシー,ジンクス,スカウト,スクリーン,スクワー,スポワー,スーハー,スーパー,タッカタ,タックル,チリリン,チリリーン,チンゲー,チンチラ,チンピラ,チンミシ,ツンコツン,ツンデレ,トロピカ,トンカラ,トンクラ,ドングリ,ドーピン,ノシカタ,ノシカッ,ハッキリ,ハッハー,ハッピー,ハラドキ,ハードボ,バカチン,バシャバシ,バタンバタ,パッチリ,パッチン,パンジー,パーキン,パーボリ,ビショビシ,ピングジ,ピンポイ,ピーカー,フラフラリ,ブラコン,ブリザー,ブービー,プリムラ,プンカー,ペットボ,ボンボリ,ポリシー,ポロリポロ,ポンコツ,ポーカー,ポーツカ,ムズアップ,ムンガン,メチャクチャ,リンプス,ワンピー,ワーカー,ワーバラ
N3140EJline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000チリリーン。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000胸元に鈴がついた真っ白なワンピースに真っ白なサンダル。'],,
N5499EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['「と、いうことだそうなので、おばば様、きびだんごを大量に作ってはくれませんか？\u3000つまり、スカウトをするのです。最強の犬、猿、雉の力で鬼どもを粉砕してさしあげましょう」', '「とはいえ、スカウトが先だな。犬、猿、雉は山にいる。とりあえず山を目指そう」']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000途中で風呂敷の穴からポロリポロリときびだんごが落ちていきましたが、桃太郎は特に気にすることはありませんでした。'],,,,,,,,,,
N6105EOline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000コンビニや百円ショップ、スーパーマーケットではだめなのだ。そうした店には今日になっても、バレンタイン向けの包装がされたおしゃれなチョコレートが並んでいるからだ。それを横目に見ながら変哲もない普通のチョコを買うなんて、いかにも惨めなことに違いない。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000数分おきに繰り返されるデモでは、赤い胴着の格闘家が素手のパンチとキックで高そうなスポーツカーを破壊し続けている。シンタローは小銭入れから百円玉を取りだしかけたが、かろうじて自制したようだった。'],,,,,,,
N8514CSline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['「ありがとう。今日はクッキーなんだね。とてもおいしそうだ」'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4911EKline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000そう言って、はしごを降りると一度自分の家に戻ってタオルを取ってきました。そして途中の川の水でタオルを濡らすと鼻と口の周りに巻きました。それから自分自身も川に入って体全体を水で濡らしました。狼の毛皮は水を吸ってビショビショになりました。'],,,,,,,,,,,,,,,,,,,,,,,
N4640CQline_info_k,,,,,,['今日のメニューは季節のサラダに、オニオンスープ、さっぱりとした酢漬けの牛肉にスパイスソースをかけたメイン。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5369COline_info_k,,['\u3000ウルフが、スタンドを蹴って外します。ハンドルに手を添え、エンジンをかけました。二輪車に命が吹き込まれたかの如く、震えるように動き、熱を帯びてきます。\n'],,,,,,,,"['\u3000籠に車輪がついたようなロボットがカタコトカタコトと音を響かせながらシープとウルフの前にやって来ました。\n', '\u3000籠に車輪がついたようなロボットがカタコトカタコトと音を響かせながらシープとウルフの前にやって来ました。\n']",['\u3000カチャカチャとティーカップを片付けていたフィールが訊ねます。\n'],"['「すごい、皆カップルだね」\n', '\u3000傍から見ると、同様にカップルに見えるウルフとシープが話しています。すると、猫のミミが鳴きました。にゃあ、とシープの足元にまとわりつきます。二人は足を止めました。\n', '\u3000シープとウルフはたくさんのカップルからの質問と視線をやっとの思いで抜けました。\n', '\u3000広場にあるベンチにはカップルや、犬をつれている男性などがちらほらと見えました。\n', '\u3000ホテルまでの途中、仲の良いカップルをたくさん見かけました。\n', '「ところで。シープさんとウルフくん、この村の住民は、全員夫婦やカップルの片割れだということに実感はわいたかな」\n', '「全てカップルなんですか？」\n', '\u3000すると、シェシャは前から女性と男性が腕を組んで歩いてきたカップルを呼び止めました。\n', '\u3000気づいたカップルは、二人とも笑みを浮かべると、こちらに近寄ってきました。\n', '\u3000このカップルは全く別の部族だったのにも関わらず、恋に落ちてしまったそうです。\n', '\u3000そう言うと、カップルは去っていきました。\n', '\u3000たくさんの種族がいて、たくさんのカップルがいました。\n', '「ここにいる方々は、全てカップルなんですよね」\n']",,,,,"['\u3000ガタゴトカダゴト。シープとウルフは再び、ラガットの馬車に乗っていました。\n', '\u3000ガタゴトカダゴト、馬車の揺れる音が徐々に小さくなっていきます。\n']",['\u3000魚を入れる籠を背負ったフィールがシープとウルフをエミーナの家の裏側の、川岸まで続く、がたつく階段に案内しました。慣れた足取りで階段を降りていくフィールをシープとウルフは、少し慌てながら追いかけます。ウルフが歩く度に鞄の中の小瓶はガチャガチャと音を鳴らします。\n'],,,,,,,,,,"['\u3000壁一面に大きな液晶のモニターがあります。数十人もの人間がそれを見つつ、自分達の前にある機械の液晶画面を眺めキーボードを叩いたり、機械に話しかけたりと作業をしていました。\n', '\u3000液晶画面のある機器と連動するのでしょう。たくさんのボタンがあるキーボードを女性の指ががすごい速さでボタンを叩きます。液晶画面にお庭にいる初老の男を上から撮ったような映像が流れます。花壇には赤いバラが咲いていました。手首に巻き付いている腕時計のようなものに男は話しかけています。イヤフォンから男の声が聞こえます。\n']",,,"['\u3000女性はすとんと細い身体を落とし、可愛らしい紙の袋に詰められたクッキーを口に運び始めます。女性は二人に笑みを向けて言いました。\n', '\u3000シープとウルフは、こくりと頷きます。すると女性は口の端にクッキーの欠片を付けたまま、とても嬉しそうに微笑みました。\n', '\u3000シープとウルフは驚きでぽっかりと口が開いてしまいました。女性はその口にクッキーを放り込みながら、くすくすと笑います。シャクシャクと口を動かしてクッキーを食べる二人に女性は言いました。\n', '\u3000シープとウルフは驚きでぽっかりと口が開いてしまいました。女性はその口にクッキーを放り込みながら、くすくすと笑います。シャクシャクと口を動かしてクッキーを食べる二人に女性は言いました。\n', '\u3000亜麻色の髪を細い指にくるくるりと巻き付けます。ごくりとクッキーを飲み込んだシープとウルフは女性を見ています。シープが訊ねました。\n', '\u3000女性はスカートを払って、クッキーの欠片を地面に落としました。髪がふわふわと揺れました。\n', '\u3000ララは笑みを浮かべつつも、少し困った表情を作ります。トレイから、クッキーの並ぶ皿を机に置きました。\n', '\u3000ララはシープにクッキーを勧めました。有り難く頂き、シープはそのクッキーをかじりました。\n', '\u3000ララはシープにクッキーを勧めました。有り難く頂き、シープはそのクッキーをかじりました。\n', '\u3000アイスクリームは、これまた可愛らしい容器にバニラアイスとチョコレートアイス。その上に白いマシュマロ、抹茶味のクッキーとレモン味のクッキーが大量に乗せてあります。さらに、もふもふと綿菓子が盛り付けられていました。\n', '\u3000アイスクリームは、これまた可愛らしい容器にバニラアイスとチョコレートアイス。その上に白いマシュマロ、抹茶味のクッキーとレモン味のクッキーが大量に乗せてあります。さらに、もふもふと綿菓子が盛り付けられていました。\n', '\u3000ゴミ箱の中は、容器とスプーン、カラフルなアイスクリーム、マシュマロ、クッキーがぐちゃぐちゃと混ざりあって奇妙な色合いと匂いを発しています。子どもたちが、言います。\n']",,,['「グーリン……」\n'],,,,,,"['\u3000村に入ると、商人たちは用意していたガスマスクとゴーグルを着けました。シープとウルフは着けませんでした。\n', '\u3000しかし男も女も子どもも老人も、全員が全員、マスクとゴーグルを着けています。冬でもないのに、肌を露出していません。\n', '「だめよ、マスクとゴーグルを着けないと。旅人さんね。ほら、これあげるわ」\n', '\u3000シープはマスクとゴーグルを着けると、女性にたずねました。\n', '「ええ……。まだ、マスクもゴーグルもしないといけないと生きていけないのは、あっちもわかっているのに」\n', '\u3000マスクとゴーグルを常につけている村人。\n', '\u3000村に入ると、商人たちは用意していたガスマスクとゴーグルを着けました。シープとウルフも持っていたマスクとゴーグルを着けました。\n', '\u3000村に入ると、商人たちは用意していたガスマスクとゴーグルを着けました。シープとウルフも持っていたマスクとゴーグルを着けました。\n', '\u3000人々は大人も子どもも男も女も皆、マスクとゴーグルを着けていました。そして、店はありませんでした。看板はありましたが、開いていませんでした。\n', '\u3000人々の流れに乗って、シープとウルフはドーム型の建物に入りました。中はとても空気が澄んでいます。村の人々は入った途端、マスクとゴーグルを外しました。通り過ぎる人々は皆笑顔でした。\n', '\u3000マスクとゴーグルを常につけている村人。\n']",,,,,['\u3000フィールは受け取りました。そして、それを全て川の、流れの激しいところへ向かってばらまきました。いくつもの水飛沫がボシャンボシャンと響きます。呆気にとられたシープとウルフが目を大きく見開きます。\n'],,['「ここで話すのもなんですが、ここに永住する気はないですか？シープさんとウルフさんが体験した以外にも“魔法”“ジャングル”“ファンタジー”など、まだまだありますよ！その場合、カプセル購入のカタログを配布しております！」\n'],['\u3000パイで挽肉をすくい取ると、シープは大きな口でそれを頬張りました。ジューシーな肉汁と、甘酸っぱいトマトの味が口いっぱいに広がります。シープは思わず頬っぺたを押さえました。\n'],,,,,,,,,,['\u3000同時に、チリリンと呼び鈴を鳴らしました。\n'],,,,,,['\u3000カツンコツンと女性の靴音が響きます。扉に辿り着きました。向こう側は明るいのか、扉の隙間から細い光が漏れて、光の筋が浮き出て見えました。\n'],,,,,,,,,,,,,,,['\u3000シープとウルフはバシャバシャと桶に手を突っ込んで各自の衣類を洗っていました。\n'],,,,,,,,,,,['\u3000先頭を、弾むように歩く少女と、その後ろをシープと、手袋をはめたウルフがフラフラリと覚束無い足取りでついていきます。\n'],,,,,,,,,,,,,,,,,"['\u3000女性から説明を聞き終えたあと、二人はすぐにクローゼットの服を来たので、準備は整っていました。シープは若草色のゆったりとしたワンピースを、ウルフは白いシャツと紺色のサロペットを着ていました。二人とも旅には適していない服装でした。\n', '\u3000その馬車の扉が開き、白いワンピースを風ではためかせながら、一人の少女が駆けて来ました。\n', '\u3000近くで見ると、そのサーカスの衣装を彷彿させる白いワンピース着た少女が肩で息をしながら言いました。年の頃は十七か、十八かでした。\n', '「うーん。これではほとんどワンピースですねぇ」\n']",,
N6470ELline_info_k,,,,,,,,,,,,"['\u3000周りのカップル達が暖かに見えるせいで。', '\u3000少女が映画館やプラネタリウムなどを中心に燃やしていると、イケメンイケ女のカップルさん達が、スポーツカーに乗ってやってきました。', '\u3000少女が話しかけると、イケメンイケ女のカップルさん達は、優しい声で言葉を返します。', '\u3000次の瞬間、イケメンイケ女のカップルさん達は少女に向けてアクセルを踏みました。', '\u3000イケメンイケ女のカップルさん達には、見覚えがあったのです。', '\u3000何が何でも少女の息の根をここで止めなくてはいけないと確信したイケメンイケ女のカップルさん達でしたが。', '\u3000同じく後方で、そんな間抜けな言葉(・・・・・・・・・)が聞こえた次の瞬間、まるで数リットルの(・・・・・・・・・・)ガソリンに火でも(・・・・・・・・)投げ込んだような(・・・・・・・・)激しい衝撃とともに、イケメンイケ女のカップルさん達の意識は永遠に失われることになるのでした。', '\u3000少女が素敵なレストランやジャズバーなどを中心に燃やしていると、カジメンカジ女のカップルさん達が現れました。', '\u3000カジメンカジ女のカップルさん達は、楽しそうにご飯の材料を運んでいます。', '\u3000少女が話しかけると、カジメンカジ女のカップルさん達は、優しい声で言葉を返します。', '\u3000次の瞬間、カジメンカジ女のカップルさん達は少女に向けて、持っていた万能包丁で斬りかかりました。', '\u3000カジメンカジ女のカップルさん達には、見覚えがあったのです。', '\u3000少女がカジメンカジ女のカップルさん達の頭上にそれぞれマッチ棒を降り下ろし、そのまま一刀両断にしたのでした。', '\u3000カジメンカジ女のカップルさん達は唐竹割りにされながら、消え行く意識の中で、そんな間抜けな言葉(・・・・・・・・・)が聞こえた気がしたのでした。', '\u3000少女が展望台やイルミネーションなどを中心に燃やしていると、キチメンキチ女のカップルさん達が現れました。', '\u3000キチメンキチ女のカップルさん達は、楽しそうにライフル銃や機関銃などの武器を運んでいます。', '\u3000少女が話しかけると、キチメンキチ女のカップルさん達は、優しい声で言葉を返します。', '\u3000次の瞬間、キチメンキチ女のカップルさん達は少女に向けて発砲しました。', '\u3000キチメンキチ女のカップルさん達には、見覚えがあったのです。', '\u3000しかし、キチメンキチ女のカップルさん達が発砲するより刹那(せつな)程早いタイミングで。', '\u3000暴発する拳銃で頭を吹き飛ばされながら、キチメンキチ女のカップルさん達は、そんな間抜けな声(・・・・・・・・)を聞いたような気がしたのでした。']",,,,,,,,['\u3000少女の瞳に宿る仄暗(ほのぐら)い光は、乱射魔(トリガーハッピー)の持つそれ(・・)と瓜二つだったのです！'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000こんな雪の中、オープンカーで走っても寒くないほどに、2人は楽しそうに笑っています。'],,,,,,,"['\u3000少女が映画館やプラネタリウムなどを中心に燃やしていると、イケメンイケ女のカップルさん達が、スポーツカーに乗ってやってきました。', '\u3000スポーツカーで轢くと思われたその瞬間に、少女が消えたのです。']",,,,,,,
N9100ENline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['『希望の船』……『希望の船(エスポワール)』にっ……！'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7512DAline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000その気になれば、世界の全ての事象がそこに書き込まれているというアカシックレコードにアクセスし、世界の秘密にすら答えうるという超絶スーパーアイテムだというのに、いうに事欠いて質問の内容が「美しいのは誰であるか」というどうでもいいものだったからです。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2326ELline_info_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000白雪姫は毎日のようにリンゴのジャムやリンゴのコンポート、リンゴのパイなどを食べて、シナモン王子と幸せになりました。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
